sepal_length,sepal_width,petal_length,petal_width,species
7.1,3.0,5.9,2.1,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.0,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
5.0,3.6,1.4,0.3,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor

# --- Resultados ---
# Registros: 10
# Media sepal_length: 5.9700
# Media sepal_width: 3.2600
# Media petal_length: 3.4700
# Media petal_width: 1.0600
# Especie predominante: Iris-setosa
